id_autor,nome,nacionalidade
1,Maria Júlia Araújo,Butão
2,Davi Luiz Cardoso,Domínica
3,Antony Azevedo,Zimbábue
4,Sr. Théo Duarte,Paquistão
5,Isabel Guerra,Wallis e Futuna
6,Isaac Jesus,Senegal
7,Sra. Ana Vitória Lima,Maurícia
8,Dr. Emanuel Souza,Chipre
9,Sra. Giovanna Moreira,Comores
10,Vinicius Albuquerque,Seicheles
11,Liz Aparecida,Burquina Faso
12,Dr. Emanuel Vasconcelos,Finlândia
13,Kamilly Marques,Vaticano
14,Elisa Casa Grande,Tajiquistão
15,Ravi Aragão,Cuba
16,Maria Flor Leão,Suíça
17,Maria Júlia Teixeira,Macedônia do Norte
18,Daniela Silva,Barbados
19,Diogo Carvalho,Zâmbia
20,João Vitor Correia,Tokelau
21,Sr. Vicente Garcia,Dhekelia
22,Juliana Caldeira,Etiópia
23,Bento Nunes,Tajiquistão
24,Bento da Mata,Ilhas Marshall
25,Evelyn da Cruz,Iran
26,Sarah Silva,Jamaica
27,Maria Luísa Nunes,São Tomé e Príncipe
28,Dra. Maysa Monteiro,Akrotiri
29,Lucas Montenegro,Noruega
30,Isaque Jesus,Tunísia
31,Dra. Larissa Correia,Macedônia do Norte
32,Luísa Rezende,Sudão
33,Cecilia Martins,Armênia
34,Alexandre Silva,Guiana
35,Igor Casa Grande,Ruanda
36,Ester Araújo,Comores
37,Dr. Vicente Duarte,Equador
38,Eduardo Correia,Canadá
39,Heloísa das Neves,Bulgária
40,Clarice Moreira,Barein
41,Dante da Luz,Costa do Marfim
42,Dra. Hellena da Rocha,Pitcairn
43,Maria Clara Monteiro,Territórios Austrais Franceses
44,Srta. Gabriela Campos,Andorra
45,Luigi Pinto,Eslováquia
46,Raquel Peixoto,Jibuti
47,Lorena Porto,Venezuela
48,Milena Sampaio,Domínica
49,Dra. Yasmin Mendes,Dinamarca
50,Isaac Albuquerque,Bangladesh
51,Maria Clara Souza,Bélgica
52,Anthony da Mata,Quênia
53,Gustavo Henrique Caldeira,Países Baixos
54,Davi Miguel da Cruz,Bósnia e Herzegovina
55,Maysa Guerra,Monserrate
56,Enrico Costa,Cuba
57,Cecilia Montenegro,Navassa Island
58,Sr. Theodoro da Mota,Macedônia do Norte
59,Sr. Rhavi da Paz,Guatemala
60,Dr. Gustavo Moura,Niue
61,Laís Mendonça,Coreia do Sul
62,Heloísa Brito,Marianas do Norte
63,Ana Julia Lopes,Malávi
64,Benjamin Pacheco,África do Sul
65,Emanuelly Brito,Japão
66,Caio Mendonça,Nicarágua
67,Ayla Porto,Bolívia
68,Calebe Casa Grande,Guiné Equatorial
69,Emanuel Vargas,Bulgária
70,Rodrigo Aragão,Sri Lanka
71,Théo Cassiano,Suazilândia
72,Eduarda da Cunha,Montenegro
73,Sr. Davi Luiz Moura,Guiné
74,Manuella Rios,Cuba
75,Clara Cunha,Dhekelia
76,Danilo Pinto,Suíça
77,Matteo Correia,Anguila
78,Yan Vieira,Ruanda
79,Antonella Silva,Armênia
80,Emanuel Cavalcanti,Guam
81,Clara das Neves,Camboja
82,Cauê Vargas,Nepal
83,José Silveira,Panamá
84,Sarah Lima,Brunei
85,Mariana das Neves,Porto Rico
86,Lavínia Teixeira,Dhekelia
87,Luísa Duarte,Estônia
88,Eloá Sampaio,Índia
89,Gabrielly Jesus,Nova Zelândia
90,Dr. Thomas Garcia,Congo-Kinshasa
91,Sr. Carlos Eduardo da Mata,Eslováquia
92,Alexandre Borges,Taiwan
93,Anthony Andrade,Catar
94,Luiz Felipe Siqueira,Chipre
95,Ana Julia Siqueira,Vietnam
96,Mariah Gomes,Wallis e Futuna
97,Dra. Julia Brito,Butão
98,Ana Sophia Moura,Venezuela
99,Daniela Sampaio,Uganda
100,Pedro Lucas Rios,República Dominicana
101,Oliver Jesus,São Tomé e Príncipe
102,Bianca Vargas,Belize
103,Juan Fonseca,Equador
104,Asafe Farias,Svalbard e Jan Mayen
105,Bruna Santos,Mali
106,Gabrielly Silveira,Ilhas Salomão
107,Isabella Freitas,Território Britânico do Oceano Índico
108,Davi Lucas Rodrigues,Iran
109,Erick da Luz,Bielorrússia
110,Bárbara da Cruz,Vietnam
111,Gustavo Henrique Pires,França
112,Bianca Cavalcanti,Guiana
113,Rael Lopes,Ilha Bouvet
114,Lucca Câmara,Gâmbia
115,Bella Farias,Malta
116,Sofia Silveira,Japão
117,Fernando Machado,República Centro-Africana
118,Pedro Lucas Barros,Samoa Americana
119,Marina Vieira,Sérvia
120,Emanuel Andrade,Jan Mayen
121,Nicole Mendes,Ilha Bouvet
122,Brayan Costela,Congo-Kinshasa
123,Paulo Pacheco,Reino Unido
124,Yago Cardoso,Somália
125,Olivia Farias,Panamá
126,Jade Montenegro,China
127,João Gabriel da Rocha,Salvador
128,Diogo Pacheco,Ilhas Cook
129,André Viana,Quirguizistão
130,Vitor Gabriel Viana,Austrália
131,Sr. Gabriel Costa,China
132,Marcela Vieira,Congo-Brazzaville
133,Mariane Azevedo,Territórios Austrais Franceses
134,Valentim Viana,Maurícia
135,Emanuel Cirino,Países Baixos
136,Luiz Miguel Camargo,Salvador
137,Ana Clara Duarte,Costa do Marfim
138,Daniel Garcia,Ilhas Marshall
139,Catarina Ribeiro,Mayotte
140,Vicente Fonseca,Jordânia
141,Sra. Eduarda Rios,Ilhas Cook
142,Alana Albuquerque,Clipperton Island
143,Ana Clara Vasconcelos,Marianas do Norte
144,Olívia Vasconcelos,Dinamarca
145,Henry Gabriel Leão,Brasil
146,Samuel Barbosa,Cazaquistão
147,Luiz Fernando Borges,Espanha
148,Rael Cassiano,Dhekelia
149,Ana Luiza Carvalho,Hong Kong
150,Davi Martins,Chipre
151,João Miguel Nogueira,Tailândia
152,Lucas Barros,Malta
153,Maria Helena Novaes,Sri Lanka
154,Eduardo da Costa,Indonésia
155,Renan Souza,Dinamarca
156,Dom Cavalcanti,Serra Leoa
157,Augusto Correia,Ilha Wake
158,Henry Silva,Nova Caledónia
159,Allana Novais,Vaticano
160,Daniela Aparecida,Mongólia
161,Maitê Novais,Suíça
162,Sr. Pietro Pires,República Dominicana
163,Srta. Olívia Costela,Áustria
164,Eduardo das Neves,Albânia
165,Diego Sousa,Islândia
166,Theo Cunha,Afeganistão
167,Sarah Castro,Hong Kong
168,Isabella da Luz,Países Baixos
169,Luna Andrade,Grécia
170,Caroline Duarte,Japão
171,Ana Lívia Gonçalves,Bielorrússia
172,Noah Oliveira,Quiribáti
173,Beatriz Abreu,Somália
174,Júlia Sá,Noruega
175,Pedro Lucas Nunes,Jibuti
176,Maria Luiza Gonçalves,Uruguai
177,Kaique Silveira,Costa do Marfim
178,André da Rocha,Quirguizistão
179,Alícia da Cunha,Mônaco
180,Sr. Pedro Henrique Nunes,Itália
181,Amanda Barros,Reino Unido
182,Samuel Campos,Arábia Saudita
183,Sra. Laura Teixeira,Granada
184,Sra. Sabrina Gonçalves,Emirados Árabes Unidos
185,Dom Cavalcanti,Benim
186,Apollo Nascimento,Botsuana
187,Daniel Peixoto,Islândia
188,Cecilia Monteiro,Groenlândia
189,Sr. Caio Barros,Luxemburgo
190,Milena Machado,Burquina Faso
191,Yasmin Peixoto,Mayotte
192,Laura Cardoso,Israel
193,Nathan Brito,Uganda
194,Maria Laura Rocha,Birmânia
195,Anthony Pires,Tokelau
196,Sophia Barros,Ilhas Heard e McDonald
197,Luan Santos,Síria
198,Benício Lopes,Granada
199,Ana Sophia Cavalcante,Ilha Norfolk
200,Caroline Porto,Faroé
201,Arthur Miguel da Cunha,União Europeia
202,Heloísa da Mota,Ilha Bouvet
203,Eduarda Cardoso,Suriname
204,Benicio Garcia,Macedônia do Norte
205,Marina Rezende,Malta
206,Juan Andrade,Madagascar
207,Alexandre Pinto,Hong Kong
208,Melina Viana,Vaticano
209,Júlia da Costa,Liechtenstein
210,Dr. Renan Pinto,Alemanha
211,Levi Mendonça,Serra Leoa
212,Ana Andrade,Egito
213,Caroline Sá,Gibraltar
214,Bryan da Luz,Ilha Wake
215,Evelyn da Cunha,Armênia
216,Sr. Thiago Melo,Navassa Island
217,Nicolas Andrade,Lituânia
218,Dra. Maria Luísa Novaes,Ilhas Virgens Britânicas
219,Dante Sá,Navassa Island
220,Sabrina Freitas,Líbano
221,Igor Pastor,Lesoto
222,Dr. Pedro Henrique Câmara,República Dominicana
223,Gabriel Ramos,Comores
224,Ana Sophia Fernandes,Maldivas
225,Isabel Cirino,Congo-Kinshasa
226,Raul Siqueira,Bielorrússia
227,Luiz Felipe Lopes,Tailândia
228,Olívia Teixeira,Domínica
229,Zoe Silva,Cabo Verde
230,Kamilly Mendonça,França
231,Eloá Mendes,Somália
232,Lucas Fernandes,Togo
233,Marina Casa Grande,Trindade e Tobago
234,Renan Ferreira,Dhekelia
235,Srta. Olívia Silva,Estônia
236,Sr. Luiz Henrique Dias,Gana
237,Luan Aparecida,Ruanda
238,Srta. Sabrina das Neves,Cuba
239,Alexia Cassiano,Luxemburgo
240,Pietro Nascimento,Congo-Kinshasa
241,Maria Clara Porto,Papua-Nova Guiné
242,Raul Garcia,Geórgia do Sul e Sandwich do Sul
243,Alícia da Paz,Jordânia
244,Noah Mendonça,Svalbard e Jan Mayen
245,Anthony Monteiro,Wallis e Futuna
246,Ayla Martins,Arábia Saudita
247,Bento Siqueira,Mônaco
248,Dra. Maria Eduarda Cavalcanti,Maldivas
249,Brenda Sampaio,Ilhas Turcas e Caicos
250,Diego Barros,Angola
251,Ana Cecília da Cruz,Bolívia
252,Caleb Martins,Granada
253,Ísis Leão,Burquina Faso
254,Levi Barros,Gâmbia
255,Marina Guerra,Irlanda
256,Kaique Rezende,Ilhas dos Cocos
257,Sra. Alice Melo,Egito
258,Ayla Barbosa,Bielorrússia
259,Isabella Ribeiro,Monserrate
260,Camila Marques,Camarões
261,Benicio Fonseca,Bolívia
262,Gustavo Henrique Moura,Ucrânia
263,Rafaela Melo,Nauru
264,Kevin Jesus,Mauritânia
265,Eloá Jesus,Barein
266,Kaique Moura,Peru
267,Asafe Moreira,Tuvalu
268,Letícia Monteiro,Maurícia
269,Dr. Rodrigo Vieira,Fiji
270,Maria Cecília Ferreira,Groenlândia
271,Mateus Azevedo,Clipperton Island
272,Augusto Jesus,Maurícia
273,Calebe Pastor,Eslováquia
274,Thiago Moreira,Ilhas dos Cocos
275,Stella Freitas,Polinésia Francesa
276,Guilherme Lopes,Svalbard e Jan Mayen
277,Murilo Martins,Bélgica
278,Vinícius Almeida,Birmânia
279,Natália Novaes,Faroé
280,Samuel Leão,Chile
281,Maria Liz Pacheco,Kuwait
282,Lunna Fernandes,Congo-Kinshasa
283,Pedro Henrique Jesus,Ilhas Heard e McDonald
284,Lunna Novaes,Somália
285,Ian Nogueira,Moçambique
286,Lara Pinto,Estônia
287,Dr. Ravi Albuquerque,Timor Leste
288,Dra. Zoe Barbosa,Ilha do Natal
289,Sra. Liz Gonçalves,Papua-Nova Guiné
290,Lunna Pires,Ilha Wake
291,Ana Lívia Machado,Nova Zelândia
292,Ester Lopes,Egito
293,Ana Sophia Campos,União Europeia
294,Gabriel Ribeiro,Ilhas Virgens Britânicas
295,Dra. Ísis Barbosa,Mayotte
296,Sr. Felipe Nunes,Tanzânia
297,Catarina Macedo,Índia
298,João Guilherme Novais,Guam
299,João Barros,Guiana
300,Rodrigo Porto,Iran
301,Camila da Mata,Nova Caledónia
302,Ana Cassiano,Palau
303,Srta. Beatriz Cirino,Vanuatu
304,Manuella Vasconcelos,Jamaica
305,Ana Cecília Fogaça,Samoa Americana
306,Lucas Gabriel Freitas,Samoa Americana
307,Benjamin Moraes,Ruanda
308,Sra. Anna Liz Sales,Butão
309,Guilherme Borges,Liechtenstein
