id_endereco,id_cliente,rua,numero,cidade,estado,cep
1,7275,Sítio da Conceição,91,Cardoso de Martins,DF,65137-740
2,18159,Esplanada de Abreu,668,Caldeira do Galho,AL,86332-758
3,3205,Estrada Manuela Abreu,5,Novais,RO,26187924
4,1509,Núcleo Novaes,39,Borges de Lima,MT,79613149
5,16116,Trevo de Fonseca,56,Siqueira,DF,47555055
6,4443,Travessa Amanda Jesus,8,Cavalcanti de Souza,TO,86581-196
7,11772,Área de Carvalho,7,Almeida de Pinto,RS,34972672
8,21122,Sítio Zoe Siqueira,5,Vargas Paulista,SC,53808-627
9,10977,Núcleo Ana Beatriz Fogaça,194,Barros,TO,04632-970
10,9009,Estação Kevin Gonçalves,49,Casa Grande de Goiás,RO,67134-352
11,20459,Favela de Oliveira,59,Machado,PA,01125843
12,6103,Lago Bruno Andrade,38,Campos de Vargas,PA,74787278
13,11416,Vereda Lorenzo Siqueira,5,Sampaio Grande,PR,57483598
14,8823,Via de Oliveira,5,Novaes da Praia,RR,70068-790
15,6225,Vereda Nunes,7,Marques de Minas,GO,14435-048
16,17847,Ladeira Bianca Souza,36,Peixoto,RO,31194357
17,16702,Núcleo de Barros,96,Leão da Serra,SP,70208-007
18,11195,Morro Barros,34,Pimenta,PR,02541421
19,15043,Estrada Moura,65,Leão,PE,38960-764
20,7683,Recanto de Moreira,91,Monteiro,TO,35068-258
21,15892,Alameda Daniel Brito,8,Garcia,BA,33939-314
22,20931,Colônia Campos,43,da Costa,GO,95142574
23,20400,Aeroporto Aragão,88,Marques,RJ,28377188
24,22146,Lagoa Brito,1,Pires,DF,37084490
25,22196,Fazenda Moraes,65,Silveira,BA,20701-178
26,2931,Favela Moura,75,Souza do Galho,MG,07782-097
27,6316,Praça de Silveira,76,Rodrigues,PI,10209516
28,16563,Passarela Juan Casa Grande,231,Dias,TO,34309637
29,6065,Núcleo da Conceição,7,Almeida do Sul,MT,76672-616
30,21768,Pátio de Moraes,299,Souza de Goiás,RS,89287-218
31,23183,Parque Stella Novaes,974,Fogaça do Sul,GO,62123631
32,10690,Viaduto Porto,83,da Cruz,RR,78541-179
33,15986,Residencial Sampaio,7,Santos,RJ,73511986
34,8884,Estação de da Cunha,200,Fernandes das Flores,RJ,85809-400
35,16205,Trevo Gonçalves,12,Peixoto dos Dourados,RO,25563-627
36,23446,Fazenda Borges,778,Aragão,PR,99157-376
37,241,Estrada Yasmin Nascimento,73,Pastor,MA,36625083
38,23239,Jardim Guerra,79,Fogaça Verde,MS,14600443
39,18934,Largo Cunha,65,Albuquerque Grande,ES,87910-914
40,23032,Parque Benjamim Almeida,98,Porto do Sul,RJ,17377205
41,10164,Aeroporto da Conceição,91,Fogaça Paulista,RS,25133-787
42,23547,Fazenda de Alves,84,Rocha,RN,73062-310
43,23394,Lagoa de Cirino,29,da Costa Grande,RS,28758-749
44,3488,Loteamento Marques,21,Oliveira,CE,99152799
45,2113,Jardim de Alves,66,Rodrigues,SP,50414-774
46,22023,Trecho Gabriel da Rosa,76,Novais das Pedras,SP,73589159
47,4958,Praça de Peixoto,46,Viana,PB,75696835
48,13324,Trecho de Sampaio,79,Moura,RS,31417747
49,4685,Distrito Maria Julia Moura,68,da Rocha,AP,88855965
50,24415,Vila de Barros,456,Casa Grande de Goiás,RR,73979-195
51,15436,Setor Luiza Pereira,49,Barros,GO,71475118
52,19975,Chácara Lopes,53,Silveira dos Dourados,AM,31482-290
53,24429,Estação de Ferreira,49,Montenegro de Peixoto,RO,96102635
54,10153,Jardim Davi Luiz Almeida,285,Duarte Grande,DF,51664246
55,17860,Alameda de Ribeiro,51,Nascimento do Oeste,PA,19568-878
56,8802,Sítio de Costa,8,Farias,RN,34827-375
57,3083,Passarela Theodoro Vieira,2,Pimenta de Minas,RJ,34383-442
58,16529,Travessa Pires,817,Ribeiro,PI,63554477
59,16463,Colônia Sophia Barros,91,Viana dos Dourados,RS,29700-036
60,11730,Lago Sarah Sousa,9,Garcia do Amparo,RJ,87590-035
61,17377,Praça Pinto,32,da Mota de Barbosa,RJ,53629821
62,2182,Rua de Borges,30,Leão,PB,33180342
63,13945,Travessa Machado,72,Cavalcante de Aragão,PR,99142158
64,10215,Trevo Pinto,80,Silva dos Dourados,PR,26889820
65,11183,Favela Gonçalves,60,Fernandes da Prata,MT,75135-883
66,10583,Via Gonçalves,70,Rios de da Conceição,RN,72729663
67,4271,Viela Alves,90,Nascimento,SE,49866188
68,1328,Viela de Farias,966,Sales Grande,PE,05475669
69,6137,Chácara Emilly Pacheco,90,Vasconcelos Verde,AL,06826611
70,3205,Quadra de Fogaça,22,Correia,DF,02043-460
71,22763,Residencial de Vieira,90,Cunha,SP,00871-269
72,1004,Avenida Emanuel Macedo,4,Farias de Gonçalves,PR,25688856
73,23820,Passarela Costa,925,Gomes da Mata,MG,38608-325
74,405,Vereda Luiz Otávio Marques,67,Vasconcelos,MG,34143314
75,11993,Residencial Moreira,773,Pires,BA,23785776
76,20681,Alameda Ramos,74,Caldeira de Minas,PB,82459352
77,5297,Parque de Ribeiro,7,Pacheco,SP,42191507
78,8150,Jardim Benjamim Mendonça,13,Silva,AP,13717558
79,19622,Viaduto Vitória Sousa,11,Cavalcante de Campos,AL,26132821
80,6724,Rodovia da Rosa,63,Brito dos Dourados,PB,43895-970
81,2822,Sítio da Conceição,98,Pinto,PE,45495-250
82,10916,Ladeira Ana Julia Cavalcante,19,Sampaio do Norte,MS,24361341
83,3664,Rodovia Moura,4,Sampaio,RJ,14765728
84,18445,Vale Maria Eduarda Montenegro,51,Teixeira de Souza,AP,88923722
85,23626,Pátio de Teixeira,73,Cunha,RS,30907-515
86,11891,Rua Ana Carolina Marques,78,Duarte das Pedras,MG,41105-394
87,23367,Estação de da Paz,29,da Cunha Verde,PB,62627-384
88,19433,Recanto Rodrigues,4,da Conceição de Costa,BA,80360-744
89,5018,Avenida Pastor,970,Brito das Flores,MG,39899-015
90,10534,Avenida João Guilherme Gomes,27,Novaes,CE,52175315
91,12711,Jardim Antônio Vargas,92,Porto Paulista,MG,50911-787
92,18385,Setor de da Mata,2,Castro,RR,44767-168
93,7937,Alameda Cassiano,140,Fonseca de Rios,MS,53053-851
94,22030,Trecho Aurora Silva,79,Mendes,PI,73203289
95,1191,Ladeira Ana Julia Dias,30,Lima,RO,95751331
96,1074,Área Nascimento,16,da Rocha,GO,51205-014
97,18882,Viela Gabriel Cardoso,440,Carvalho do Norte,RN,07061964
98,18531,Praia de Vieira,140,Duarte Grande,PB,92194533
99,2495,Parque Leonardo Cardoso,4,Camargo da Prata,PA,79276841
100,24034,Favela Lucas Abreu,6,da Mata,CE,19287218
101,20709,Esplanada Allana Andrade,64,Borges de Azevedo,PE,06005104
102,513,Lagoa Maya Sousa,3,Souza,MT,33107709
103,4439,Parque Lopes,360,Dias do Campo,CE,51716-312
104,3769,Núcleo de Gonçalves,71,Novais,BA,14667-581
105,3859,Praça Sophie Novais,48,Santos,PA,54923-678
106,2684,Distrito de Viana,5,da Costa de Cardoso,AL,24260547
107,16193,Feira Rodrigo da Rosa,64,Abreu de Carvalho,RO,07277594
108,9390,Vila Alana Gomes,9,Oliveira,DF,30464683
109,7899,Rodovia de Costa,661,Rodrigues,PR,86390-835
110,9988,Viela Bento Novaes,47,Macedo de Goiás,AL,05563907
111,23356,Distrito Raul Farias,60,Nascimento do Oeste,MG,06783-680
112,4880,Rodovia Anna Liz Garcia,65,Leão Verde,SC,66994-494
113,3935,Ladeira de Sales,99,Peixoto,AP,70634786
114,14971,Largo Lopes,343,Teixeira,AC,99893-746
115,6089,Condomínio de da Mota,330,Gonçalves de Pacheco,RS,98449-959
116,7867,Quadra Isabelly Ribeiro,98,Cassiano,SP,04988-474
117,2886,Chácara Helena Camargo,92,da Costa do Campo,RS,10166-275
118,9456,Praia Letícia Silva,859,Costela do Oeste,RS,12571-001
119,16869,Recanto Cardoso,22,Porto de Minas,SP,47372059
120,10451,Sítio Luara Fonseca,55,Aragão,RN,82804-346
121,20150,Alameda Catarina Carvalho,834,Albuquerque,AM,43506612
122,10194,Trevo Yan Porto,46,Gomes do Oeste,MA,94902-727
123,6716,Área Ana Cecília Duarte,40,Vargas,CE,17907093
124,1740,Vereda Bella Silveira,76,Pires de Minas,RO,60916303
125,5707,Núcleo de Brito,95,Aparecida,AC,54752-911
126,19404,Rodovia Pinto,33,Barros,PI,15668-518
127,20129,Morro Ravy Santos,52,Brito de Rodrigues,PB,18523-100
128,10118,Parque Maria Flor Fogaça,32,Moreira,AL,72702-299
129,7980,Vila Isis da Conceição,98,da Costa,DF,28612-582
130,19940,Trecho Silveira,18,Lopes Alegre,MS,58400951
131,13889,Vereda Lopes,8,Rios de da Costa,PR,86509479
132,23851,Aeroporto de Oliveira,571,Costela do Sul,RN,92112262
133,3375,Fazenda Henrique Pacheco,72,Câmara de Minas,PR,70269443
134,11425,Aeroporto Pires,325,Oliveira,ES,14466-876
135,11970,Lagoa Anthony Sousa,45,Costa de Minas,RS,56541-963
136,8237,Área da Rosa,57,Pereira da Mata,AC,07994-230
137,24184,Colônia de Costela,53,Fonseca,TO,33086-285
138,13675,Residencial Mateus Macedo,9,Almeida,DF,25100-750
139,5126,Feira Viana,36,da Mota,SP,66448770
140,16786,Área Martins,17,Lopes Paulista,SE,38851-641
141,17189,Fazenda de Pacheco,61,Campos,MS,18601179
142,23677,Lago de Peixoto,1,da Rocha,GO,69489604
143,1684,Aeroporto de Caldeira,425,Souza de Alves,AP,35548170
144,10103,Ladeira Isaac da Cunha,7,Andrade Verde,PI,58352-890
145,7443,Trevo de da Cunha,14,Castro de Pimenta,AM,16482-434
146,8210,Vale Gonçalves,959,Moreira das Flores,GO,64106817
147,21953,Núcleo de Moreira,56,Costa,GO,22663-919
148,24614,Praça Viana,87,Nunes Grande,MT,74598-242
149,18345,Praia Sara Oliveira,665,Siqueira do Campo,PB,78803736
150,892,Lagoa Sá,74,Moura,PB,77671-517
151,17264,Estrada de Teixeira,999,Alves,AC,92557416
152,21540,Vila Castro,739,Novais,RJ,05363270
153,13867,Estação da Mota,63,Cassiano,PI,49123-079
154,15799,Sítio de Gonçalves,81,Montenegro Verde,AC,31122-393
155,8974,Morro Mariane da Rosa,691,Cirino de Viana,RR,94313-596
156,18149,Favela de Sá,7,Nunes do Norte,RS,88766231
157,20351,Parque Silveira,88,Pastor,ES,89383-137
158,24877,Trecho de Rios,21,Nogueira,PI,41619-970
159,19812,Praça Ester Oliveira,63,Silva,PA,69322-106
160,2904,Rua Farias,995,Aragão,AL,20156949
161,7491,Lagoa Fogaça,64,Guerra da Prata,RO,36009-433
162,4413,Pátio de Silveira,160,Sousa de Teixeira,MS,52818-404
163,15713,Colônia Amanda das Neves,27,Ferreira,DF,50375-138
164,21932,Viaduto Luísa Pastor,3,Novaes,BA,55619987
165,13677,Jardim Lara Albuquerque,84,Cavalcante,RR,51583-066
166,11136,Avenida Moreira,43,da Cruz,RN,27750-251
167,4098,Via Ryan Viana,532,Rocha,ES,18234007
168,9974,Lago de Cavalcante,3,da Rocha do Galho,MA,99765196
169,16244,Ladeira Montenegro,30,Monteiro,BA,87507643
170,520,Estação de Peixoto,85,Câmara do Campo,PA,26132114
171,5151,Fazenda de Montenegro,592,Jesus,RS,48954-416
172,3568,Aeroporto de das Neves,8,Cunha,CE,80332-149
173,4200,Quadra Sara Cunha,74,Nunes,RR,95288979
174,21285,Passarela Guerra,93,Guerra do Galho,PI,19133-452
175,19972,Lago Dias,15,Gonçalves,MS,84951-938
