id_funcionario,nome,cargo,email
1,Raul Rezende,Estoquista,thiago21@example.com
2,Luan Teixeira,Caixa,camposmarina@example.com
3,Letícia Borges,Estoquista,vitor11@example.net
4,Lorenzo Andrade,Caixa,acostela@example.org
5,Emilly Abreu,Gerente,maria-claramoura@example.com
6,Arthur Miguel Machado,Vendedor,otto60@example.net
7,Mathias Martins,Estoquista,wdias@example.org
8,Benicio Nogueira,Estoquista,allanateixeira@example.org
9,Nathan Farias,Vendedor,juliabarbosa@example.com
10,Emilly Câmara,Gerente,pimentamarina@example.org
11,Vitória Macedo,Vendedor,barbara17@example.com
12,Dr. Nicolas Mendonça,Caixa,riosleo@example.org
13,Dr. João Sales,Vendedor,bribeiro@example.org
14,Vitor Vasconcelos,Gerente,tandrade@example.com
15,Dr. Enrico Correia,Caixa,bsa@example.net
16,Emanuella Marques,Caixa,melinapereira@example.org
17,Sr. Pedro Miguel Gomes,Estoquista,luisa11@example.com
18,Felipe Aragão,Gerente,gabrielaguerra@example.org
19,Carlos Eduardo Viana,Estoquista,miguelcassiano@example.net
20,Erick Novaes,Caixa,yaparecida@example.com
21,Luísa Cavalcante,Vendedor,da-pazana-liz@example.net
22,Dom Santos,Estoquista,silveiraeloah@example.org
23,Olivia Sá,Gerente,dantemelo@example.org
24,Ravi Cardoso,Gerente,wgarcia@example.com
25,Eduarda da Cunha,Estoquista,souzamurilo@example.org
26,Srta. Isabella Costa,Vendedor,anthony53@example.org
27,Aurora Montenegro,Vendedor,jose-miguelalbuquerque@example.org
28,Maria Liz Souza,Gerente,cramos@example.com
29,Bento Martins,Caixa,vnovais@example.org
30,Ravi Novaes,Estoquista,theoteixeira@example.com
31,Nicole Aparecida,Estoquista,yuri33@example.org
32,Ana Julia Ribeiro,Vendedor,asafecasa-grande@example.com
33,Luiz Gustavo Peixoto,Gerente,ocostela@example.net
34,Alícia Moraes,Estoquista,bnunes@example.net
35,Samuel Silva,Gerente,rodriguesayla@example.net
36,Lucca Souza,Gerente,bpeixoto@example.net
37,Théo Cavalcanti,Vendedor,xda-costa@example.com
38,Srta. Clara Nunes,Vendedor,efreitas@example.org
